date,bruttogjeld
2007-05-01,1613502
2007-06-01,1633042
2007-07-01,1648582
2007-08-01,1661512
2007-09-01,1679179
2007-10-01,1696291
2007-11-01,1715866
2007-12-01,1725984
2008-01-01,1733874
2008-02-01,1745996
2008-03-01,1754769
2008-04-01,1765697
2008-05-01,1780686
2008-06-01,1793556
2008-07-01,1801658
2008-08-01,1810198
2008-09-01,1820638
2008-10-01,1824611
2008-11-01,1831289
2008-12-01,1836410
2009-01-01,1840571
2009-02-01,1850591
2009-03-01,1862986
2009-04-01,1873966
2009-05-01,1885133
2009-06-01,1898876
2009-07-01,1909683
2009-08-01,1916487
2009-09-01,1931277
2009-10-01,1945246
2009-11-01,1957396
2009-12-01,1960841
2010-01-01,1970486
2010-02-01,1976455
2010-03-01,1983232
2010-04-01,1994525
2010-05-01,2007806
2010-06-01,2019073
2010-07-01,2019148
2010-08-01,2027214
2010-09-01,2043020
2010-10-01,2056784
2010-11-01,2072262
2010-12-01,2077659
2011-01-01,2088139
2011-02-01,2095941
2011-03-01,2107954
2011-04-01,2122552
2011-05-01,2137078
2011-06-01,2151117
2011-07-01,2160787
2011-08-01,2172941
2011-09-01,2193126
2011-10-01,2208071
2011-11-01,2225152
2011-12-01,2231981
2012-01-01,2243257
2012-02-01,2253874
2012-03-01,2228059
2012-04-01,2237610
2012-05-01,2258903
2012-06-01,2276710
2012-07-01,2289672
2012-08-01,2301598
2012-09-01,2315674
2012-10-01,2334158
2012-11-01,2354256
2012-12-01,2362531
2013-01-01,2374295
2013-02-01,2384995
2013-03-01,2394609
2013-04-01,2410449
2013-05-01,2426511
2013-06-01,2444769
2013-07-01,2453057
2013-08-01,2468234
2013-09-01,2486021
2013-10-01,2504386
2013-11-01,2520735
2013-12-01,2541299
2014-01-01,2549335
2014-02-01,2557556
2014-03-01,2571966
2014-04-01,2586489
2014-05-01,2602634
2014-06-01,2616586
2014-07-01,2629672
2014-08-01,2641723
2014-09-01,2660077
2014-10-01,2679651
2014-11-01,2691681
2014-12-01,2700224
2015-01-01,2709188
2015-02-01,2719652
2015-03-01,2738550
2015-04-01,2751096
2015-05-01,2772858
2015-06-01,2790085
2015-07-01,2804518
2015-08-01,2814942
2015-09-01,2831602
2015-10-01,2855948
2015-11-01,2856105
2015-12-01,2868292
2016-01-01,2878226
2016-02-01,2886578
2016-03-01,2900111
2016-04-01,2917490
2016-05-01,2937712
2016-06-01,2959002
2016-07-01,2971895
2016-08-01,2989052
2016-09-01,3012512
2016-10-01,3033552
2016-11-01,3045155
2016-12-01,3052594
2017-01-01,3067697
2017-02-01,3078374
2017-03-01,3097134
2017-04-01,3111158
2017-05-01,3135454
2017-06-01,3156226
2017-07-01,3169800
2017-08-01,3187284
2017-09-01,3206793
2017-10-01,3226360
2017-11-01,3242108
2017-12-01,3250688
2018-01-01,3272042
2018-02-01,3279942
2018-03-01,3296171
2018-04-01,3311461
2018-05-01,3333414
2018-06-01,3356231
2018-07-01,3368246
2018-08-01,3386669
2018-09-01,3407701
2018-10-01,3425274
2018-11-01,3436354
2018-12-01,3444160
2019-01-01,3459312
2019-02-01,3467955
2019-03-01,3483438
2019-04-01,3499118
2019-05-01,3520496
2019-06-01,3542760
2019-07-01,3546903
2019-08-01,3562480
2019-09-01,3581031
2019-10-01,3598691
2019-11-01,3616787
2019-12-01,3617809
2020-01-01,3629733
2020-02-01,3637797
2020-03-01,3653228
2020-04-01,3665413
2020-05-01,3682204
2020-06-01,3705954
2020-07-01,3716363
2020-08-01,3732850
2020-09-01,3755252
2020-10-01,3775668
2020-11-01,3797389
2020-12-01,3799267
2021-01-01,3813602
2021-02-01,3819195
2021-03-01,3831372
2021-04-01,3849363
2021-05-01,3871360
2021-06-01,3900009
2021-07-01,3911334
2021-08-01,3928141
2021-09-01,3947282
2021-10-01,3967022
2021-11-01,3985995
2021-12-01,3990364
2022-01-01,4003273
2022-02-01,4009887
2022-03-01,4022655
2022-04-01,4035049
2022-05-01,4058695
2022-06-01,4077988
2022-07-01,4084977
2022-08-01,4098283
2022-09-01,4116887
2022-10-01,4131352
2022-11-01,4152728
2022-12-01,4154742
2023-01-01,4168567
2023-02-01,4171118
2023-03-01,4189400
2023-04-01,4198802
2023-05-01,4216298
2023-06-01,4230298
2023-07-01,4234688
2023-08-01,4249839
2023-09-01,4267715
2023-10-01,4272928
2023-11-01,4283798
2023-12-01,4284934
