date,cci_norge_imp
2007-05-01,8.7125
2007-06-01,6.3
2007-07-01,3.260029419
2007-08-01,-1.08625
2007-09-01,4.02875
2007-10-01,0.0425
2007-11-01,1.56625
2007-12-01,3.54375
2008-01-01,-2.155
2008-02-01,0.8425
2008-03-01,-6.2725
2008-04-01,-5.09625
2008-05-01,-2.83875
2008-06-01,-4.3375
2008-07-01,-6.330530873
2008-08-01,-8.05625
2008-09-01,-11.58625
2008-10-01,-5.2875
2008-11-01,-7.27125
2008-12-01,-4.81375
2009-01-01,1.06625
2009-02-01,1.61
2009-03-01,-0.24375
2009-04-01,1.085
2009-05-01,4.3425
2009-06-01,5.95625
2009-07-01,7.269629862
2009-08-01,9.16875
2009-09-01,8.9975
2009-10-01,6.36
2009-11-01,6.9125
2009-12-01,5.4825
2010-01-01,6.4175
2010-02-01,6.90125
2010-03-01,5.595
2010-04-01,7.85375
2010-05-01,0.805
2010-06-01,4.37625
2010-07-01,5.441124247
2010-08-01,7.0325
2010-09-01,6.55625
2010-10-01,7.1175
2010-11-01,7.65875
2010-12-01,5.45125
2011-01-01,5.9975
2011-02-01,4.66875
2011-03-01,4.75375
2011-04-01,4.54375
2011-05-01,3.7125
2011-06-01,5.92375
2011-07-01,1.065
2011-08-01,1.11125
2011-09-01,5.56
2011-10-01,-2.62375
2011-11-01,-3.22125
2011-12-01,-2.6375
2012-01-01,0.90375
2012-02-01,1.53375
2012-03-01,3.39
2012-04-01,6.23625
2012-05-01,4.015
2012-06-01,1.91125
2012-07-01,3.22125
2012-08-01,1.51125
2012-09-01,3.8675
2012-10-01,4.01375
2012-11-01,4.445
2012-12-01,3.0175
2013-01-01,4.9348625
2013-02-01,3.299594212
2013-03-01,0.03949197643
2013-04-01,2.258349138
2013-05-01,2.486215919
2013-06-01,-0.02562647428
2013-07-01,-0.715
2013-08-01,2.69125
2013-09-01,0.83375
2013-10-01,-1.58625
2013-11-01,-0.685
2013-12-01,-2.015
2014-01-01,-0.445
2014-02-01,-0.3535922967
2014-03-01,0.5075
2014-04-01,1.4825
2014-05-01,1.076947006
2014-06-01,0.8307963685
2014-07-01,3.453791139
2014-08-01,2.039216489
2014-09-01,2.175389999
2014-10-01,-2.494456899
2014-11-01,-2.111840485
2014-12-01,-3.978063587
2015-01-01,-3.904968122
2015-02-01,-3.352959819
2015-03-01,-3.076242776
2015-04-01,-3.176964056
2015-05-01,-5.298506052
2015-06-01,-4.185917431
2015-07-01,-4.193844946
2015-08-01,-5.363467631
2015-09-01,-7.248124271
2015-10-01,-8.599836262
2015-11-01,-9.530926467
2015-12-01,-10.21687918
2016-01-01,-8.278491294
2016-02-01,-9.022286817
2016-03-01,-9.817739086
2016-04-01,-5.477889711
2016-05-01,-6.479916215
2016-06-01,-1.879490474
2016-07-01,-1.567994155
2016-08-01,-1.053265452
2016-09-01,0.3254603756
2016-10-01,-3.183482786
2016-11-01,-3.431740928
2016-12-01,-1.123058583
2017-01-01,-1.533218053
2017-02-01,-1.771939131
2017-03-01,-0.4203436919
2017-04-01,0.7171713375
2017-05-01,1.510453092
2017-06-01,1.531490125
2017-07-01,0.661712816
2017-08-01,2.713354394
2017-09-01,2.948298348
2017-10-01,0.3310088787
2017-11-01,2.27509649
2017-12-01,0.5340249474
2018-01-01,2.734116915
2018-02-01,0.8161767792
2018-03-01,-0.5227014438
2018-04-01,1.394177447
2018-05-01,1.394442728
2018-06-01,-0.4585282885
2018-07-01,0.06871477935
2018-08-01,-0.7343087512
2018-09-01,-2.801957293
2018-10-01,-1.457786108
2018-11-01,-3.032338802
2018-12-01,-3.559216775
2019-01-01,-0.4810346158
2019-02-01,-2.927010828
2019-03-01,-3.83449095
2019-04-01,-1.730734647
2019-05-01,-3.224305408
2019-06-01,-2.66873352
2019-07-01,-0.6786840874
2019-08-01,-3.959721086
2019-09-01,-2.327725555
2019-10-01,-5.069656302
2019-11-01,-3.729183441
2019-12-01,-4.914207298
2020-01-01,-1.919686621
2020-02-01,-2.57249647
2020-03-01,-10.38370863
2020-04-01,-13.31391287
2020-05-01,-4.418643032
2020-06-01,-0.7723487518
2020-07-01,-0.9557363397
2020-08-01,-4.820233611
2020-09-01,-2.362675685
2020-10-01,-3.74337682
2020-11-01,-3.60335579
2020-12-01,0.5099465409
2021-01-01,-0.03302269358
2021-02-01,0.1652892319
2021-03-01,2.763734197
2021-04-01,4.913113948
2021-05-01,4.365264603
2021-06-01,4.174630062
2021-07-01,8.429512875
2021-08-01,5.134908984
2021-09-01,5.595419475
2021-10-01,6.059680836
2021-11-01,-0.539673688
2021-12-01,-9.228145562
2022-01-01,-5.638829468
2022-02-01,-6.518106535
2022-03-01,-19.98392893
2022-04-01,-14.93018314
2022-05-01,-18.38824785
2022-06-01,-20.05224204
2022-07-01,-24.19755653
2022-08-01,-26.81534872
2022-09-01,-29.36674342
2022-10-01,-31.95319869
2022-11-01,-27.69812834
2022-12-01,-27.27445803
2023-01-01,-27.64381472
2023-02-01,-26.49310917
2023-03-01,-22.18169836
2023-04-01,-22.32777234
2023-05-01,-25.97102455
2023-06-01,-24.33363963
2023-07-01,-24
2023-08-01,-20.40215753
2023-09-01,-19.8
2023-10-01,-22.7
2023-11-01,-24.56305761
2023-12-01,-25.6
