date,kpi
2007-05-01,84.6
2007-06-01,84.5
2007-07-01,84.3
2007-08-01,84.2
2007-09-01,84.8
2007-10-01,85
2007-11-01,86.4
2007-12-01,87.1
2008-01-01,86.7
2008-02-01,87.2
2008-03-01,87.2
2008-04-01,87.2
2008-05-01,87.2
2008-06-01,87.4
2008-07-01,87.9
2008-08-01,88
2008-09-01,89.3
2008-10-01,89.6
2008-11-01,89.1
2008-12-01,89
2009-01-01,88.7
2009-02-01,89.4
2009-03-01,89.4
2009-04-01,89.7
2009-05-01,89.9
2009-06-01,90.4
2009-07-01,89.9
2009-08-01,89.7
2009-09-01,90.4
2009-10-01,90.2
2009-11-01,90.5
2009-12-01,90.8
2010-01-01,90.9
2010-02-01,92
2010-03-01,92.5
2010-04-01,92.7
2010-05-01,92.2
2010-06-01,92.1
2010-07-01,91.6
2010-08-01,91.4
2010-09-01,92
2010-10-01,92.1
2010-11-01,92.3
2010-12-01,93.3
2011-01-01,92.7
2011-02-01,93.1
2011-03-01,93.4
2011-04-01,93.9
2011-05-01,93.7
2011-06-01,93.4
2011-07-01,93.1
2011-08-01,92.6
2011-09-01,93.4
2011-10-01,93.3
2011-11-01,93.3
2011-12-01,93.4
2012-01-01,93.2
2012-02-01,94.2
2012-03-01,94.1
2012-04-01,94.2
2012-05-01,94.2
2012-06-01,93.7
2012-07-01,93.3
2012-08-01,92.9
2012-09-01,93.9
2012-10-01,94.3
2012-11-01,94.4
2012-12-01,94.7
2013-01-01,94.5
2013-02-01,95.1
2013-03-01,95.4
2013-04-01,95.9
2013-05-01,96
2013-06-01,95.7
2013-07-01,96.1
2013-08-01,96
2013-09-01,96.4
2013-10-01,96.6
2013-11-01,96.7
2013-12-01,96.6
2014-01-01,96.6
2014-02-01,97.1
2014-03-01,97.3
2014-04-01,97.7
2014-05-01,97.8
2014-06-01,97.5
2014-07-01,98.3
2014-08-01,97.9
2014-09-01,98.5
2014-10-01,98.6
2014-11-01,98.6
2014-12-01,98.6
2015-01-01,98.6
2015-02-01,98.9
2015-03-01,99.2
2015-04-01,99.6
2015-05-01,99.8
2015-06-01,100.1
2015-07-01,100.1
2015-08-01,99.9
2015-09-01,100.6
2015-10-01,101
2015-11-01,101.3
2015-12-01,100.9
2016-01-01,101.5
2016-02-01,102.1
2016-03-01,102.5
2016-04-01,102.9
2016-05-01,103.2
2016-06-01,103.8
2016-07-01,104.5
2016-08-01,103.9
2016-09-01,104.2
2016-10-01,104.7
2016-11-01,104.9
2016-12-01,104.4
2017-01-01,104.3
2017-02-01,104.7
2017-03-01,105
2017-04-01,105.2
2017-05-01,105.4
2017-06-01,105.8
2017-07-01,106.1
2017-08-01,105.3
2017-09-01,105.9
2017-10-01,106
2017-11-01,106.1
2017-12-01,106.1
2018-01-01,106
2018-02-01,107
2018-03-01,107.3
2018-04-01,107.7
2018-05-01,107.8
2018-06-01,108.5
2018-07-01,109.3
2018-08-01,108.9
2018-09-01,109.5
2018-10-01,109.3
2018-11-01,109.8
2018-12-01,109.8
2019-01-01,109.3
2019-02-01,110.2
2019-03-01,110.4
2019-04-01,110.8
2019-05-01,110.5
2019-06-01,110.6
2019-07-01,111.4
2019-08-01,110.6
2019-09-01,111.1
2019-10-01,111.3
2019-11-01,111.6
2019-12-01,111.3
2020-01-01,111.3
2020-02-01,111.2
2020-03-01,111.2
2020-04-01,111.7
2020-05-01,111.9
2020-06-01,112.1
2020-07-01,112.9
2020-08-01,112.5
2020-09-01,112.9
2020-10-01,113.2
2020-11-01,112.4
2020-12-01,112.9
2021-01-01,114.1
2021-02-01,114.9
2021-03-01,114.6
2021-04-01,115
2021-05-01,114.9
2021-06-01,115.3
2021-07-01,116.3
2021-08-01,116.3
2021-09-01,117.5
2021-10-01,117.2
2021-11-01,118.1
2021-12-01,118.9
2022-01-01,117.8
2022-02-01,119.1
2022-03-01,119.8
2022-04-01,121.2
2022-05-01,121.5
2022-06-01,122.6
2022-07-01,124.2
2022-08-01,123.9
2022-09-01,125.6
2022-10-01,126
2022-11-01,125.8
2022-12-01,125.9
2023-01-01,126.1
2023-02-01,126.6
2023-03-01,127.6
2023-04-01,129
2023-05-01,129.6
2023-06-01,130.4
2023-07-01,130.9
2023-08-01,129.9
2023-09-01,129.8
2023-10-01,131.1
2023-11-01,131.8
2023-12-01,131.9
